FID	IID	FGP_WenJ15
yangzhou_226_84	yangzhou_226_84	104.0
yangzhou_226_85	yangzhou_226_85	94.9
yangzhou_226_86	yangzhou_226_86	100.5
yangzhou_226_87	yangzhou_226_87	146.7
yangzhou_226_88	yangzhou_226_88	121.0
yangzhou_226_89	yangzhou_226_89	112.1
yangzhou_226_90	yangzhou_226_90	111.8
yangzhou_226_91	yangzhou_226_91	153.8
yangzhou_226_9	yangzhou_226_9	67.4
yangzhou_226_92	yangzhou_226_92	102.4
yangzhou_226_93	yangzhou_226_93	101.8
yangzhou_226_94	yangzhou_226_94	145.7
yangzhou_226_95	yangzhou_226_95	106.7
yangzhou_226_96	yangzhou_226_96	134.6
yangzhou_226_97	yangzhou_226_97	135.0
yangzhou_226_98	yangzhou_226_98	202.0
yangzhou_226_99	yangzhou_226_99	85.5
YCX333	YCX333	NA
YCX334	YCX334	NA
YCX335	YCX335	NA
YCX336	YCX336	NA
YCX337	YCX337	NA
YCX338	YCX338	NA
YCX339	YCX339	NA
YCX340	YCX340	NA
YCX341	YCX341	NA
YCX342	YCX342	NA
YCX343	YCX343	NA
YCX344	YCX344	NA
YCX345	YCX345	NA
YCX346	YCX346	NA
YCX347	YCX347	NA
YCX348	YCX348	NA
YCX349	YCX349	NA
YCX350	YCX350	NA
YCX351	YCX351	NA
YCX352	YCX352	NA
YCX353	YCX353	NA
YCX354	YCX354	NA
YCX355	YCX355	NA
YCX356	YCX356	NA
YCX357	YCX357	NA
YCX358	YCX358	NA
YCX359	YCX359	NA
YCX360	YCX360	NA
YCX361	YCX361	NA
YCX362	YCX362	NA
YCX363	YCX363	NA
YCX364	YCX364	NA
YCX365	YCX365	NA
YCX366	YCX366	NA
YCX367	YCX367	NA
YCX368	YCX368	NA
YCX369	YCX369	NA
YCX370	YCX370	NA
YCX371	YCX371	NA
YCX372	YCX372	NA
YCX373	YCX373	NA
YCX374	YCX374	NA
YCX375	YCX375	NA
YCX376	YCX376	NA
YCX377	YCX377	NA
YCX378	YCX378	NA
YCX379	YCX379	NA
YCX380	YCX380	NA
YCX381	YCX381	NA
YCX382	YCX382	NA
YCX383	YCX383	NA
YCX384	YCX384	NA
YCX385	YCX385	NA
YCX386	YCX386	NA
YCX387	YCX387	NA
YCX388	YCX388	NA
YCX389	YCX389	NA
YCX390	YCX390	NA
YCX391	YCX391	NA
YCX392	YCX392	NA
YCX393	YCX393	NA
YD12	YD12	119.6
